"scrambleId";"competitionId";"eventId";"roundTypeId";"groupId";"isExtra";"scrambleNum";"scramble";"edge.targets";"corner.targets";"edge.twists";"corner.twists";"pairity"
3464;"CMIFiestaOpen2014";"333bf";"f";"A";0;1;"U B2 F2 U' R2 U B2 U' L2 U R F L' D' B R' B L R2 B L2";10;8;0;0;"no pairity"
3465;"CMIFiestaOpen2014";"333bf";"f";"A";0;2;"B2 L2 D2 B2 R' U2 B2 L2 B2 R' B F D' U' B U F' U L2 R D";10;4;1;1;"no pairity"
3466;"CMIFiestaOpen2014";"333bf";"f";"A";0;3;"B2 U2 L' F2 D2 R B2 L2 D L' U B' F2 L F' D2 B L2 R' B' L2";11;7;1;1;"pairity"
3467;"CMIFiestaOpen2014";"333bf";"f";"A";1;1;"F' U2 F' D2 L2 F' R2 F2 R2 D L' B F' U' L F2 D2 F' L' B R2";12;6;1;2;"no pairity"
3468;"CMIFiestaOpen2014";"333bf";"f";"A";1;2;"D' R2 F2 L2 F2 D' F2 R' B2 L2 U B' F' U L2 F' R2 B R D2";10;6;0;0;"no pairity"
4059;"MonticelloConteOtto2014";"333bf";"1";"A";0;1;"L U2 R2 U2 B2 R2 F2 U2 L B' F2 D2 R D2 R2 U' F L2 B F D2";12;6;0;1;"no pairity"
4060;"MonticelloConteOtto2014";"333bf";"1";"A";0;2;"B2 D' F2 D L2 D U2 R2 B2 U2 L' U' F R' F2 D L' D2 L2 R' U' B' L'";11;7;0;1;"pairity"
4061;"MonticelloConteOtto2014";"333bf";"1";"A";0;3;"R2 D2 B' R2 B D2 F' L2 D2 B' D R F L' R U2 B R' U' F D'";10;6;1;1;"no pairity"
4062;"MonticelloConteOtto2014";"333bf";"1";"A";1;1;"L2 B R2 F2 L2 U2 B' L2 R2 D2 B D F L2 F' U' L2 R U' L B' L";10;6;0;0;"no pairity"
4063;"MonticelloConteOtto2014";"333bf";"1";"A";1;2;"F2 L2 U2 R2 U B2 D F D R2 B2 F D' U' L' U' F' L D' B' L";12;4;0;2;"no pairity"
4064;"MonticelloConteOtto2014";"333bf";"f";"A";0;1;"R2 D' R2 B2 U' L2 B2 L2 D' U R' B' U B2 D' R U R2 B2 D B R";11;5;0;3;"pairity"
4065;"MonticelloConteOtto2014";"333bf";"f";"A";0;2;"R2 B R2 D2 L2 D2 R2 U2 F U2 F L' R' D L U2 B2 U' F' U2 F2 D";12;6;1;2;"no pairity"
4066;"MonticelloConteOtto2014";"333bf";"f";"A";0;3;"D2 L2 B2 L2 F L2 R2 F D F' R F' D U' B' R2 U' F' D' L2 U";11;5;1;0;"pairity"
4067;"MonticelloConteOtto2014";"333bf";"f";"A";1;1;"L2 D2 F2 R2 F2 D' L2 B' D2 B2 L B' L2 U2 F U R' B R B R";11;5;0;2;"pairity"
4068;"MonticelloConteOtto2014";"333bf";"f";"A";1;2;"L R' B2 D2 U2 F2 R' U2 F R2 U' R2 B L2 D' B2 L R B' D";11;7;1;1;"pairity"
